rank	title	author
1	Ulysses	James Joyce
2	In Search of Lost Time	Marcel Proust
3	The Great Gatsby	F. Scott Fitzgerald
4	One Hundred Years of Solitude	Gabriel García Márquez
5	The Catcher in the Rye	J. D. Salinger
6	Moby-Dick	Herman Melville
7	Nineteen Eighty Four	George Orwell
8	Don Quixote	Miguel de Cervantes
9	The Sound and the Fury	William Faulkner
10	Anna Karenina	Leo Tolstoy
11	Lolita	Vladimir Nabokov
12	War and Peace	Leo Tolstoy
13	Crime and Punishment	Fyodor Dostoevsky
14	Wuthering Heights	Emily Brontë
15	Pride and Prejudice	Jane Austen
16	To Kill a Mockingbird	Harper Lee
17	The Lord Of The Rings	J. R. R. Tolkien
18	The Brothers Karamazov	Fyodor Dostoevsky
19	Madame Bovary	Gustave Flaubert
20	The Trial	Franz Kafka
21	The Bible	Unknown
22	Adventures of Huckleberry Finn	Mark Twain
23	The Stranger	Albert Camus
24	Middlemarch	George Eliot
25	To the Lighthouse	Virginia Woolf
26	The Odyssey	Homer
27	The Grapes of Wrath	John Steinbeck
28	The Divine Comedy	Dante Alighieri
29	The Magic Mountain	Thomas Mann
30	Jane Eyre	Charlotte Brontë
31	Heart of Darkness	Joseph Conrad
32	Mrs. Dalloway	Virginia Woolf
33	Invisible Man	Ralph Ellison
34	The Master and Margarita	Mikhail Bulgakov
35	Catch-22	Joseph Heller
36	Alice's Adventures in Wonderland	Lewis Carroll
37	The Iliad	Homer
38	Great Expectations	Charles Dickens
39	Frankenstein	Mary Shelley
40	Les Misérables	Victor Hugo
41	On the Road	Jack Kerouac
42	Absalom, Absalom!	William Faulkner
43	The Red and the Black	Stendhal
44	The Little Prince	Antoine de Saint-Exupéry
45	Beloved	Toni Morrison
46	David Copperfield	Charles Dickens
47	Fictions	Jorge Luis Borges
48	One Thousand and One Nights	Unknown
49	Journey to the End of The Night	Louis-Ferdinand Céline
50	Brave New World	Aldous Huxley
51	Lord of the Flies	William Golding
52	The Old Man and the Sea	Ernest Hemingway
53	Animal Farm	George Orwell
54	The Life And Opinions Of Tristram Shandy	Laurence Sterne
55	Rebecca	Daphne du Maurier
56	Dracula	Bram Stoker
57	The Sun Also Rises	Ernest Hemingway
58	Midnight's Children	Salman Rushdie
59	The Idiot	Fyodor Dostoevsky
60	Things Fall Apart	Chinua Achebe
61	The Leopard	Giuseppe Tomasi di Lampedusa
62	Under the Volcano	Malcolm Lowry
63	The Golden Notebook	Doris May Lessing
64	Their Eyes Were Watching God	Zora Neale Hurston
65	Gulliver's Travels	Jonathan Swift
66	The Portrait of a Lady	Henry James
67	Gone With the Wind	Margaret Mitchell
68	The Scarlet Letter	Nathaniel Hawthorne
69	Robinson Crusoe	Daniel Defoe
70	Pale Fire	Vladimir Nabokov
71	A Farewell to Arms	Ernest Hemingway
72	The Plague	Albert Camus
73	The Aeneid	Virgil
74	Candide	Voltaire
75	Hamlet	William Shakespeare
76	Emma	Jane Austen
77	Slaughterhouse-Five	Kurt Vonnegut
78	The Metamorphosis	Franz Kafka
79	A Passage to India	E. M. Forster
80	Essays	Michel de Montaigne
81	A Portrait of the Artist as a Young Man	James Joyce
82	The Castle	Franz Kafka
83	The Man Without Qualities	Robert Musil
84	The Tin Drum	Günter Grass
85	Leaves of Grass	Walt Whitman
86	As I Lay Dying	William Faulkner
87	All Quiet on the Western Front	Erich Maria Remarque
88	Buddenbrooks	Thomas Mann
89	The Good Soldier	Ford Madox Ford
90	Little Women	Louisa May Alcott
91	The Picture of Dorian Gray	Oscar Wilde
92	The Count of Monte Cristo	Alexandre Dumas
93	Demons	Fyodor Dostoevsky
94	Faust	Johann Wolfgang von Goethe
95	The Age of Innocence	Edith Wharton
96	The Bell Jar	Sylvia Plath
97	Dead Souls	Nikolai Gogol
98	The Unbearable Lightness of Being	Milan Kundera
99	Orlando	Virginia Woolf
100	Waiting for Godot	Samuel Beckett
