rank,book,authors,year,country,language
2126,Soul and Other Stories,Andrey Platonov,1999,Russian,Russian
2360,Satantango,László Krasznahorkai,1985,Hungarian,Hungarian
1101,The Unwomanly Face Of War,Svetlana Alexievich,1985,Russian,Russian
3398,The Complete Fiction Of Bruno Schulz,Bruno Schulz,1989,Polish,Polish
9555,F Letter,"Galina Rymbu , Eugene Ostashevsky , Ainsley Morse",2021,Russian,Russian
8024,Carbide,Andriy Lyubka,2014,Ukrainian,Ukrainian
5004,The Ministry Of Pain,Dubravka Ugrešić,2004,Croatian,Croatian
6626,The Silent Steppe,Mukhamet Shayakhmetov,2006,Kazakh,English
547,I Served The King Of England,Bohumil Hrabal,1983,Czech,Czech
418,The Bridge on the Drina,Ivo Andrić,1945,Bosnian,Serbo-croatian
3496,The Eighth Life,Nino Haratishvili,2014,Georgian,German
6964,Klotsvog,Margarita Khemlin,2009,Russian,Russian
5549,A Wake For The Living,Radmila Lazić,1996,Serbian,Serbian
6964,A Short Border Handbook,Gazmend Kapllani,2009,Greek,Albanian
3570,Memoirs Of A Revolutionist,Vera Figner,1920,Russian,Russian
9006,The Vanishing Generation,Bagila Bukharbayeva,2019,Uzbek,English
3570,Trans-Atlantyk,Witold Gombrowicz,1953,Polish,Polish
2504,"Journal, 1935 44",Mihail Sebastian,1996,Romanian,Romanian
1697,The Bedbug And Selected Poetry,Vladimir Mayakovsky,1920,Russian,Russian
1655,Evenings On A Farm Near Dikanka,Nikolai Gogol,1831,Russian,Russian
1334,My Name Is Aram,William Saroyan,1940,American,English
8024,Walker On Water,Kristiina Ehin,2014,Estonian,Estonian
93,Demons,Fyodor Dostoevsky,1872,Russian,Russian
5335,The Moscoviad,Yuri Andrukhovych,1993,Ukrainian,Ukrainian
9006,Of Strangers And Bees,Hamid Ismailov,2019,Uzbek,Uzbek
2149,Bai Ganyo,Aleko Konstantinov,1895,Bulgarian,Bulgarian
8353,The Natashas,Yelena Moskovich,2016,Russian,English
3570,"Oh, These Times",Catherine the Great,1790,Russian,Unknown
7561,Quiet Flows The Una,Faruk Šehić,2011,Bosnian,Bosnian
6854,The Good Life Elsewhere,Vladimir Lorchenkov,2008,Russian,Russian
5549,Medea And Her Children,Lyudmila Ulitskaya,1996,Russian,Russian
7702,A Spare Life,Lidija Dimkovksa,2012,Macedonian,Macedonian
5498,Zuleikha,Guzel Yakhina,2015,Russian,Russian
98,The Unbearable Lightness of Being,Milan Kundera,1984,Czech,Czech
4391,Out Of The Fire,"Ales Adamovich , Yanka Bryl , Vladimir Kolesnik",1981,Belarusian,Russian
3570,White Shroud,Antanas Škėma,1958,Lithuanian,Lithuanian
4491,The Zone,Sergei Dovlatov,1982,Russian,Russian
931,A Tomb for Boris Davidovich,Danilo Kiš,1976,Serbian,Serbo-croatian
4038,Fieldwork In Ukrainian Sex,Oksana Zabuzhko,1996,Ukrainian,Ukrainian
3501,Natural Novel,Georgi Gospodinov,1999,Bulgarian,Bulgarian
8353,The Diary Of A Gulag Prison Guard 1935 6,Ivan Chistyakov,2016,Russian,Russian
8353,The Harvest Of Chronos,Mojca Kumerdej,2016,Slovenian,Slovenian
6553,Three Apples Fell From The Sky,Narine Abgaryan,2015,Armenian,Russian
5335,Imperium,Ryszard Kapuscinski,1993,Polish,Polish
7084,Voroshilovgrad,Serhiy Zhadan,2010,Ukrainian,Ukrainian
