rank,book,authors,year,country,language
392,My Brilliant Friend,Elena Ferrante,2012,American,Italian
883,The Warmth Of Other Suns,Isabel Wilkerson,2010,American,English
380,Wolf Hall,Hilary Mantel,2009,British,English
556,The Known World,Edward P. Jones,2003,American,English
231,The Corrections,Jonathan Franzen,2001,American,English
225,2666,Roberto Bolaño,2004,Chilean,Spanish
750,The Underground Railroad,Colson Whitehead,2016,American,English
256,Austerlitz,W. G. Sebald,2001,German,German
260,Never Let Me Go,Kazuo Ishiguro,2005,British,English
462,Gilead,Marilynne Robinson,2004,American,English
385,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007,Dominican,English
376,The Year of Magical Thinking,Joan Didion,2005,American,English
287,The Road,Cormac McCarthy,2006,American,English
1077,Outline,Rachel Cusk,2014,British,English
1199,Pachinko,Min Jin Lee,2017,American,English
305,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000,American,English
820,The Sellout,Paul Beatty,2015,American,English
1002,Lincoln in the Bardo,George Saunders,2017,American,English
1958,Say Nothing,Patrick Radden Keefe,2018,American,English
1258,Erasure,Percival Everett,2001,American,English
1377,Evicted,Matthew Desmond,2016,American,English
1460,Behind the Beautiful Forevers,Katherine Boo,2012,American,English
2432,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro,2001,Canadian,English
1073,The Overstory,Richard Powers,2018,American,English
1405,Random Family,Adrian Nicole LeBlanc,2003,American,English
236,Atonement,Ian McEwan,2001,British,English
436,Americanah,Chimamanda Ngozi Adichie,2013,Nigerian,English
419,Cloud Atlas,David Mitchell,2004,British,English
863,The Last Samurai,Helen DeWitt,2000,American,English
1616,"Sing, Unburied, Sing",Jesmyn Ward,2017,American,English
217,White Teeth,Zadie Smith,2000,British,English
699,The Line of Beauty,Alan Hollinghurst,2004,British,English
1341,Salvage the Bones,Jesmyn Ward,2011,American,English
1823,Citizen,Claudia Rankine,2014,American,English
1021,Fun Home,Alison Bechdel,2006,American,English
1272,Between the World and Me,Ta-Nehisi Coates,2015,American,English
578,The Years,Annie Ernaux,2008,French,French
343,The Savage Detectives,Roberto Bolaño,1998,Chilean,Spanish
408,A Visit From The Goon Squad,Jennifer Egan,2010,American,English
2640,H Is For Hawk,Helen MacDonald,2014,British,English
2338,Small Things Like These,Claire Keegan,2021,Irish,English
1376,A Brief History of Seven Killings,Marlon James,2014,Jamaican,English
1602,Postwar,Tony Judt,2005,British,English
1081,The Fifth Season,N. K. Jemisin,2015,American,English
1662,The Argonauts,Maggie Nelson,2015,American,English
728,The Goldfinch,Donna Tartt,2013,American,English
2814,A Mercy,Toni Morrison,2008,American,English
651,Persepolis,Marjane Satrapi,2000,French,French
784,The Vegetarian,Han Kang,2007,Korean,Korean
3019,Trust,Hernan Díaz,2022,Argentinian,English
1406,Life After Life,Kate Atkinson,2013,British,English
1673,Train Dreams,Denis Johnson,2002,American,English
1530,Runaway,Alice Munro,2004,Canadian,English
1889,Tenth of December,George Saunders,2013,American,English
1849,The Looming Tower,Lawrence Wright,2006,American,English
2017,The Flamethrowers,Rachel Kushner,2013,American,English
1373,Nickel And Dimed,Barbara Ehrenreich,2001,American,English
5073,Stay True,Hua Hsu,2022,Chinese,English
406,Middlesex,Jeffrey Eugenides,2002,American,English
2570,Heavy,Kiese Laymon,2018,American,English
2106,Demon Copperhead,Barbara Kingsolver,2022,American,English
2801,10:04,Ben Lerner,2014,American,English
1342,Veronica,Mary Gaitskill,2005,American,English
1946,The Great Believers,Rebecca Makkai,2018,American,English
893,The Plot Against America,Philip Roth,2004,American,English
4273,We The Animals,Justin Torres,2011,American,English
2147,Far From the Tree,Andrew Solomon,2012,American,English
4271,The Friend,Sigrid Nunez,2018,American,English
1660,The New Jim Crow,Michelle Alexander,2010,American,English
6240,All Aunt Hagar’s Children,Edward P. Jones,2006,American,English
2652,Childhood,Tove Ditlevsen,1967,Danish,Danish
3506,Youth,Tove Ditlevsen,1967,Danish,Danish
2651,Dependency,Tove Ditlevsen,1971,Danish,Danish
1004,Secondhand Time,Svetlana Alexievich,2013,Belarusian,Russian
2490,The Passage Of Power,Robert Caro,2012,American,English
1326,Olive Kitteridge,Elizabeth Strout,2008,American,English
2191,Exit West,Mohsin Hamid,2017,Pakistani,English
2785,"Tomorrow, And Tomorrow, And Tomorrow",Gabrielle Zevin,2022,American,English
2599,An American Marriage,Tayari Jones,2018,American,English
2885,Septology,Jon Fosse,2019,Norwegian,Norwegian
2783,A Manual For Cleaning Women,Lucia Berlin,2015,American,English
2824,The Story Of The Lost Child,Elena Ferrante,2014,Italian,Italian
1818,Pulphead,John Jeremiah Sullivan,2011,American,English
2645,Hurricane Season,Fernanda Melchor,2017,Mexican,Spanish
3190,When We Cease To Understand The World,"Adrian Nathan West , Benjamin Labatut",2020,Chilean,Spanish
1938,The Emperor of All Maladies,Siddhartha Mukherjee,2010,American,English
2472,Pastoralia,George Saunders,2000,American,English
2949,Frederick Douglass,David W. Blight,2018,American,English
4477,"Detransition, Baby",Torrey Peters,2021,American,English
1871,The Collected Stories Of Lydia Davis,Lydia Davis,2009,American,English
2883,The Return,Hisham Matar,2016,Libyan,English
907,The Sympathizer,Viet Thanh Nguyen,2015,American,English
410,The Human Stain,Philip Roth,2000,American,English
3215,The Days Of Abandonment,Elena Ferrante,2002,Italian,Italian
1365,Station Eleven,Emily St John Mandel,2014,Canadian,English
2433,On Beauty,Zadie Smith,2005,British,English
2874,Bring Up the Bodies,Hilary Mantel,2012,British,English
6665,"Wayward Lives, Beautiful Experiments",Saidiya Hartman,2019,American,English
1713,Men We Reaped,Jesmyn Ward,2013,American,English
921,Bel Canto,Ann Patchett,2001,American,English
2299,How to be both,Ali Smith,2014,British,English
2069,Tree of Smoke,Denis Johnson,2007,American,English
