rank,book,authors,year,country,language
171,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish
760,The Feast of the Goat,Mario Vargas Llosa,2000,Peruvian,Spanish
343,The Savage Detectives,Roberto Bolaño,1998,Chilean,Spanish
225,2666,Roberto Bolaño,2004,Chilean,Spanish
6858,News From The Empire,Fernando del Paso,1987,Mexican,Spanish
479,A Heart So White,Javier Marias,1992,Spanish,Spanish
2327,Bartleby & Co,Enrique Vila-Matas,2000,Spanish,Spanish
2049,Santa Evita,Tomás Eloy Martínez,1995,Argentinian,Spanish
4558,Tomorrow In The Battle Think On Me,Javier Marias,1994,Spanish,Spanish
4530,The Abyss,Fernando Vallejo,2001,Colombian,Spanish
3266,Our Lady of the Assassins,Fernando Vallejo,1994,Colombian,Spanish
1366,Soldiers of Salamis,Javier Cercas,2001,Spanish,Spanish
2847,Distant Star,Roberto Bolaño,1996,Chilean,Spanish
6577,Landscapes After the Battle,Juan Goytisolo,1982,Spanish,Spanish
3008,The City Of Marvels,Eduardo Mendoza,1986,Spanish,Spanish
3227,The Polish Rider,Antonio Muñoz Molina,1991,Spanish,Spanish
9851,El Testigo,Juan Villoro,2004,Mexican,Spanish
6531,Beauty Salon,Mario Bellatin,1994,Mexican,Spanish
8061,Cuando Ya No Importe,Juan Carlos Onetti,1993,Uruguayan,Spanish
6670,La Tejedora De Coronas,Germán Espinosa,1982,Colombian,Spanish
9720,The Way To Paradise,Mario Vargas Llosa,2003,Peruvian,Spanish
7524,Tropical Night Falling,Manuel Puig,1988,Argentinian,Spanish
10131,Doctor Pasavento,Enrique Vila-Matas,2005,Spanish,Spanish
6791,Herrumbrosas Lanzas,Juan Benet,1983,Spanish,Spanish
3225,The Adventures and Misadventures of Maqroll,Alvaro Mutis,1993,Colombian,Spanish
7478,Winter In Lisbon,Antonio Muñoz Molina,1987,Spanish,Spanish
9973,"Verdes Valles, Colinas Rojas",Ramiro Pinilla,2004,Spanish,Spanish
8536,Lovesick,Ángeles Mastretta,1996,Mexican,Spanish
