rank,book,authors,year,country,language
465,Dream of the Red Chamber,Cao Xueqin,1754,Chinese,Chinese
3744,The Search For Modern China,Jonathan Spence,1990,American,English
6209,China Pop,Jianying Zha,1995,Unknown,English
1031,The True Story Of Ah Q,Lu Xun,1922,Chinese,Chinese
4413,The Party,Richard McGregor,2010,Unknown,English
274,The Good Earth,Pearl S. Buck,1931,American,English
5858,Soulstealers,Philip A. Kuhn,1990,American,English
6475,The Rape Of Nanking,Iris Chang,1997,American,English
4000,Age of Ambition,Evan Osnos,2014,American,English
2966,Factory Girls,Leslie T. Chang,2008,American,English
8039,Out Of Mao’s Shadow,Philip P. Pan,2008,Unknown,English
6165,Oracle Bones,Peter Hessler,2006,American,English
6956,Autumn In The Heavenly Kingdom,Stephen R. Platt,2012,American,English
6744,In The Red,Geremie R. Barmé,1999,Unknown,English
7462,Wealth And Power,"Orville Schell , John Delury",2013,Chinese,English
6767,The Boxer Rebellion,Diana Preston,1999,Unknown,English
9087,China's Second Continent,Howard W. French,2014,American,English
5328,"1587, A Year Of No Significance",Ray Huang,1981,Chinese,English
2291,The Three-Body Problem,Cixin Liu,2006,Chinese,Chinese
9596,The Beautiful Country And The Middle Kingdom,John Pomfret,2016,American,English
868,Wild Swans,Jung Chang,1991,Chinese,English
8185,The Last Days Of Old Beijing,Michael Meyer,2008,Unknown,English
4397,The Opium War,Julia Lovell,2011,British,English
9857,The Souls Of China,Ian Johnson,2017,American,English
1534,Love In A Fallen City,Eileen Chang,1943,Chinese,Chinese
4667,400 Million Customers,Carl Crow,1937,American,English
358,Journey to the West,Wu Cheng'en,1592,Chinese,Chinese
8125,China,Susan Shirk,2007,Unknown,English
5229,Forgotten Ally,Rana Mitter,2013,British,English
9924,Nine Continents,Xiaolu Guo,2017,Chinese,English
777,Romance of the Three Kingdoms,Guanzhong Luo,1400,Chinese,Chinese
4750,Peking Story,David Kidd,1960,American,English
8446,Prisoner Of The State,Zhao Ziyang,2009,Chinese,Chinese
1584,Fortress Besieged,Qian Zhongshu,1947,Chinese,Chinese
3984,The Song Of Everlasting Sorrow,Wang Anyi,1995,Chinese,Chinese
10516,China's New Red Guards,Jude Blanchette,2019,Unknown,English
8330,The Man Who Loved China,Simon Winchester,2008,British,English
2556,Tales Of Hulan River,Xiao Hong,1942,Chinese,Chinese
9429,The Emperor Far Away,David Eimer,2014,Unknown,English
10011,Unlikely Partners,Julian Gewirtz,2017,Unknown,English
6715,Frontier,Can Xue,2008,Chinese,Chinese
3329,Wandering On The Way,"Zhuangzi , Victor H. Mair",-369,Chinese,Classical chinese
7972,Nixon And Mao,Margaret MacMillan,2005,Canadian,English
1869,Red Sorghum,Yan Mo,1986,Chinese,Chinese
9844,One Child,Mei Fong,2016,Unknown,English
2389,Soul Mountain,Xingjian Gao,1990,Chinese,Chinese
8544,The Dragon's Gift,Deborah Brautigam,2009,Unknown,English
10678,The Banished Immortal,Ha Jin,2019,American,English
797,Rickshaw Boy,Lao She,1936,Chinese,Chinese
6644,Notes Of A Desolate Man,Chu Tʽien-wen,1994,Taiwanese,Chinese
9883,The Most Wanted Man In China,Fang Lizhi,2016,Unknown,English
10097,Little Soldiers,Lenora Chu,2017,Unknown,English
2586,Border Town,Shen Congwen,1934,Chinese,Chinese
6097,The Chinese Enlightenment,Vera Schwarcz,1986,Unknown,English
6585,Ruined City,Jia Pingwa,1993,Chinese,Chinese
9244,Our Story,Rao Pingru,2013,Chinese,Chinese
