rank,book,authors,year,country,language
329,Where the Wild Things Are,Maurice Sendak,1963,American,English
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
283,Pippi Longstocking,Astrid Lindgren,1945,Swedish,Swedish
44,The Little Prince,Antoine de Saint-Exupéry,1943,French,French
149,The Hobbit,J. R. R. Tolkien,1937,British,English
422,His Dark Materials,Philip Pullman,1995,British,English
261,The Chronicles of Narnia,C. S. Lewis,1950,British,English
185,Winnie the Pooh,A. A. Milne,1926,British,English
102,Charlotte's Web,E. B. White,1952,American,English
1316,Matilda,Roald Dahl,1988,British,English
242,Anne of Green Gables,L. M. Montgomery,1908,Canadian,English
237,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish
241,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997,British,English
1779,The Very Hungry Caterpillar,Eric Carle,1969,American,English
979,The Dark Is Rising,Susan Cooper,1973,British,English
3861,The Arrival,Shaun Tan,2006,Australian,English
90,Little Women,Louisa May Alcott,1868,American,English
1353,"Charlie And The Chocolate Factory,",Roald Dahl,1964,British,English
839,Heidi,Johanna Spyri,1881,Swiss,German
749,Goodnight Moon,Margaret Wise Brown,1947,American,English
657,The Adventures Of Pinocchio,Carlo Collodi,1883,Italian,Italian
270,A Wizard Of Earthsea,Ursula K. Le Guin,1968,American,English
1766,Moominland Midwinter,Tove Jansson,1957,Finnish,Swedish
4883,I Want My Hat Back,Jon Klassen,2011,Canadian,English
792,The Secret Garden,Frances Hodgson Burnett,1911,British,English
6812,"Duck, Death And The Tulip",Wolf Erlbruch,2007,German,German
2009,The Brothers Lionheart,Astrid Lindgren,1973,Swedish,Swedish
1090,Harry Potter And The Prisoner Of Azkaban,J. K. Rowling,1999,British,English
3169,Brown Girl Dreaming,Jacqueline Woodson,2014,American,English
4088,The Three Robbers,Tomi Ungerer,1961,French,English
939,The Snowy Day,Ezra Jack Keats,1962,American,English
2390,The Tiger Who Came to Tea,Judith Kerr,1968,British,English
2053,Howl's Moving Castle,Diana Wynne Jones,1986,British,English
303,A Wrinkle In Time,Madeleine L'Engle,1962,American,English
216,Watership Down,Richard Adams,1972,British,English
1514,Tom's Midnight Garden,Philippa Pearce,1958,British,English
311,Household Tales,Brothers Grimm,1812,German,German
1304,The Tale of Peter Rabbit,Beatrix Potter,1902,British,English
2401,The Railway Children,Edith Nesbit,1906,British,English
2139,Noughts and Crosses,Malorie Blackman,2001,British,English
1369,The BFG,Roald Dahl,1982,British,English
4428,Rules Of Summer,Shaun Tan,2013,Australian,English
2014,Momo,Michael Ende,1973,German,German
1256,Story of Ferdinand,Munro Leaf,1936,American,English
17,The Lord Of The Rings,J. R. R. Tolkien,1959,English,English
1501,The Owl Service,Alan Garner,1967,British,English
1563,"Ronia, The Robber's Daughter",Astrid Lindgren,1981,Swedish,Swedish
1254,The Neverending Story,Michael Ende,1979,German,German
635,Panchatantra,Unknown,-300,Multiple,Sanskrit
121,Treasure Island,Robert Louis Stevenson,1883,British,English
1695,Mary Poppins,P. L. Travers,1934,British,English
737,Ballet Shoes,Noel Streatfeild,1936,British,English
5854,So Much!,Trish Cooke,1994,British,English
3052,We're Going on a Bear Hunt,Michael Rosen,1989,British,English
3064,The Adventures Of Cipollino,Gianni Rodari,1951,Italian,Italian
2160,The Giving Tree,Shel Silverstein,1964,American,English
3527,The Gruffalo,Julia Donaldson,1999,British,English
7542,Julián Is A Mermaid,Jessica Love,2018,American,English
4394,Comet In Moominland,Tove Jansson,1946,Finnish,Swedish
4398,Finn Family Moomintroll,Tove Jansson,1948,Finnish,Swedish
1894,The Witches,Roald Dahl,1983,British,English
2503,A Bear Called Paddington,Michael Bond,1958,British,English
124,The Wind in the Willows,Kenneth Grahame,1908,British,English
1274,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,American,English
1717,Karlson On The Roof,Astrid Lindgren,1955,Swedish,Swedish
503,The Phantom Tollbooth,Norton Juster,1961,American,English
896,The Cat in the Hat,Dr. Seuss,1957,American,English
4536,The Miraculous Journey Of Edward Tulane,Kate DiCamillo,2006,American,English
352,Peter And Wendy,J. M. Barrie,1911,Scottish,English
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
1903,From The Mixed Up Files Of Mrs Basil E Frankweiler,EL Konigsburg,1967,American,English
4444,When Hitler Stole Pink Rabbit,Judith Kerr,1971,German,English
4446,A Naughty Boy,G'afur G'ulоm,1940,Uzbek,Uzbek
4979,Ernest And Celestine,Gabrielle Vincent,1981,French,French
9487,A Kind Of Spark,Elle McNicoll,2020,Scottish,English
3089,Little Nicholas,Rene Goscinny,1959,French,French
491,Black Beauty,Anna Sewell,1877,British,English
3091,Daddy Long Legs,Jean Webster,1912,American,English
4480,No Kiss For Mother,Tomi Ungerer,1973,French,English
1134,My Family And Other Animals,Gerald Durrell,1956,British,English
2767,Jacob Have I Loved,Katherine Paterson,1980,American,English
1646,The Lorax,Dr. Seuss,1971,American,English
2296,The Complete Fairy Tales of Charles Perrault,Charles Perrault,1697,French,French
4483,The Moomins And The Great Flood,Tove Jansson,1945,Finnish,Swedish
395,The Wonderful Wizard of Oz,L. Frank Baum,1900,American,English
1798,Just William,Richmal Crompton,1922,British,English
1379,The Twits,Roald Dahl,1980,British,English
1689,The Mouse And His Child,Russell Hoban,1967,American,English
6161,Out Of My Mind,Sharon M. Draper,2010,American,English
4484,Moominvalley In November,Tove Jansson,1970,Finnish,Swedish
1412,Little House In The Big Woods,Laura Ingalls Wilder,1932,American,English
1009,Danny The Champion Of The World,Roald Dahl,1975,British,English
4762,The Snowman,Raymond Briggs,1978,British,English
7523,Wave,Suzy Lee,2008,Unknown,English
4485,The Black Brothers,Lisa Tetzner,1941,German,German
1812,The Velveteen Rabbit,Margery Williams,1922,British,English
3109,A Series of Unfortunate Events #1,Lemony Snicket,1999,American,English
4342,The Graveyard Book,Neil Gaiman,2008,British,English
3413,American Born Chinese,Gene Luen Yang,2006,American,English
1704,Haroun and the Sea of Stories,Salman Rushdie,1990,British,English
