rank,book,authors,year,country,language
8166,A Caribbean Heiress In Paris,Adriana Herrera,2022,American,English
7061,The Perils Of Pleasure,Julie Anne Long,2008,American,English
4437,Forever Amber,Kathleen Winsor,1944,American,English
171,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish
3760,Daisy Jones & The Six,Taylor Jenkins Reid,2019,American,English
4084,Flowers From The Storm,Laura Kinsale,1992,American,English
55,Rebecca,Daphne du Maurier,1938,British,English
8598,Amberlough,Lara Elena Donnelly,2017,American,English
8459,Forbidden,Beverly Jenkins,2016,American,English
9179,"It’s Been A Pleasure, Noni Blake",Claire Christian,2020,Australian,English
1192,Patience And Sarah,Isabel Miller,1969,American,English
3421,The Fault in Our Stars,John Green,2012,American,English
8989,The Prince Of Broadway,Joanna Shupe,2019,American,English
4445,It Ends With Us,Colleen Hoover,2016,American,English
7637,Butterfly Swords,Jeannie Lin,2010,Unknown,English
6042,Mrs. Miracle,Debbie Macomber,1996,American,English
4437,Frederica,Georgette Heyer,1965,British,English
3368,"Get A Life, Chloe Brown",Talia Hibbert,2019,British,English
853,Outlander,Diana Gabaldon,1991,American,English
3013,"Red, White & Royal Blue",Casey McQuiston,2019,American,English
869,High Fidelity,Nick Hornby,1995,British,English
4437,Restoree,Anne McCaffrey,1967,American,English
3540,Virgin River,Robyn Carr,2007,American,English
14,Wuthering Heights,Emily Brontë,1847,British,English
5531,The Prize,Julie Garwood,1991,American,English
6586,Maggie The Mechanic,Jaime Hernandez,2003,American,English
5160,Heartbreak Soup,Gilbert Hernandez,1985,American,English
1473,The Duke and I,Julia Quinn,2000,American,English
8152,The Kraken King,Meljean Brook,2014,American,English
2123,The Notebook,Nicholas Sparks,1996,American,English
7734,Phantom Evil,Heather Graham Pozzessere,2011,American,English
5969,True Betrayals,Nora Roberts,1995,American,English
4734,Entwined Destinies,Rosalind Welles,1979,American,English
5472,This Is How You Lose The Time War,"Amal El Mohtar , Max Gladstone",2019,Multiple,English
4918,Me Before You,Jojo Moyes,2012,British,English
7069,Heartstopper,Alice Oseman,2018,British,English
5219,Through A Glass Darkly,Karleen Koen,1986,American,English
8166,Honey And Spice,Bolu Babalola,2022,British,English
189,A Tale of Two Cities,Charles Dickens,1859,British,English
1302,Normal People,Sally Rooney,2018,Irish,English
5811,A Promise Of Fire,Amanda Bouchet,2016,American,English
3264,The Kiss Quotient,Helen Hoang,2018,Vietnamese,English
4437,Bride Of The Mac Hugh,Jan Cox Speas,1954,American,English
3202,Endless Love,Scott Spencer,1979,American,English
8989,Wolf Gone Wild,Juliette Cross,2019,Unknown,English
8778,Becoming Mrs. Lewis,Patti Callahan Henry,2018,American,English
9471,The Queer Principles Of Kit Webb,Cat Sebastian,2021,American,English
1339,Like Water For Chocolate,Laura Esquivel,1989,Mexican,Spanish
7504,Angels' Blood,Nalini Singh,2009,New Zealander,English
1165,Nine Coaches Waiting,Mary Stewart,1958,British,English
9681,The Romantic Agenda,Claire Kann,2022,Unknown,English
8989,Polaris Rising,Jessie Mihalik,2019,American,English
127,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese
982,Love Story,Eric Segal,1970,American,English
4897,The Sun Is Also A Star,Nicola Yoon,2016,American,English
9681,Kiss Her Once For Me,Alison Cochrun,2022,Unknown,English
1825,Katherine,Anya Seton,1954,American,English
8166,The Dead Romantics,Ashley Poston,2022,American,English
1018,Maurice,E. M. Forster,1971,British,English
6868,Just Listen,Sarah Dessen,2006,American,English
9471,Happy Endings,Thien-Kim Lam,2021,Unknown,English
6287,Dark Prince,Christine Feehan,1999,American,English
616,Bridget Jones's Diary,Helen Fielding,1996,British,English
8989,Brazen And The Beast,Sarah MacLean,2019,American,English
8166,That Time I Got Drunk And Saved A Demon,Kimberly Lemming,2022,American,English
3826,Water For Elephants,Sara Gruen,2006,American,English
8989,Bloom,Kevin Panetta,2019,Unknown,English
3763,An Extraordinary Union,Alyssa Cole,2017,American,English
9681,Partners In Crime,Alisha Rai,2022,Unknown,English
6868,Lord Perfect,Loretta Chase,2006,American,English
