rank,book,authors,year,country,language
190,The Remains of the Day,Kazuo Ishiguro,1989,British,English
1639,Harold and the Purple Crayon,Crockett Johnson,1955,American,English
15,Pride and Prejudice,Jane Austen,1813,British,English
17,The Lord Of The Rings,J. R. R. Tolkien,1959,English,English
462,Gilead,Marilynne Robinson,2004,American,English
709,Arrow of God,Chinua Achebe,1964,Nigerian,English
607,Lonesome Dove,Larry McMurtry,1985,American,English
205,The Haunting of Hill House,Shirley Jackson,1959,American,English
3995,Love and Rockets,"Gilbert Hernandez , Jaime Hernandez , Mario Hernandez",1982,American,English
1199,Pachinko,Min Jin Lee,2017,American,English
554,"Are You There God? It's Me, Margaret",Judy Blume,1970,American,English
492,Another Country,James Baldwin,1962,American,English
392,My Brilliant Friend,Elena Ferrante,2012,American,Italian
271,The Stand,Stephen King,1978,American,English
436,Americanah,Chimamanda Ngozi Adichie,2013,Nigerian,English
197,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,British,English
14,Wuthering Heights,Emily Brontë,1847,British,English
1451,A Perfect Spy,John le Carré,1986,British,English
2055,Madeline,Ludwig Bemelmans,1939,Austrian,English
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
628,Stories of Ernest Hemingway,Ernest Hemingway,1987,American,English
616,Bridget Jones's Diary,Helen Fielding,1996,British,English
101,Dune,Frank Herbert,1965,American,English
558,I Capture the Castle,Dodie Smith,1948,British,English
209,The Complete Sherlock Holmes,Arthur Conan Doyle,1927,British,English
380,Wolf Hall,Hilary Mantel,2009,British,English
1318,Sandman,Neil Gaiman,1989,British,English
728,The Goldfinch,Donna Tartt,2013,American,English
689,The Killer Angels,Michael Shaara,1974,American,English
169,The End of the Affair,Graham Greene,1951,British,English
2134,The Buddha in the Attic,Julie Otsuka,2011,American,English
422,His Dark Materials,Philip Pullman,1995,British,English
145,The Talented Mr. Ripley,Patricia Highsmith,1955,American,English
4066,The Good Lord Bird,James McBride,2013,American,English
267,The Awakening,Kate Chopin,1899,American,English
1470,Selected Stories,William Trevor,1992,Irish,English
302,The Bluest Eye,Toni Morrison,1970,American,English
104,Doctor Zhivago,Boris Pasternak,1957,Russian,Russian
