rank,book,authors,year,country,language
3868,Ion,Liviu Rebreanu,1920,Romanian,Romanian
1527,Forest of the Hanged,Liviu Rebreanu,1922,Romanian,Romanian
3868,The Uprising,Liviu Rebreanu,1932,Romanian,Romanian
3868,La Medeleni,Ionel Teodoreanu,1925,Romanian,Romanian
3868,The Disheveled Maidens,Hortensia Papadat-Bengescu,1926,Romanian,Romanian
3868,A Bach Concert,Hortensia Papadat-Bengescu,1927,Romanian,Romanian
3868,The Hidden Way,Hortensia Papadat-Bengescu,1933,Romanian,Romanian
3868,Întunecare,Cezar Petrescu,1927,Romanian,Romanian
3868,Ancuța's Inn,Mihail Sadoveanu,1928,Romanian,Romanian
3868,Zodia Cancerului Sau Vremea Ducăi Vodă,Mihail Sadoveanu,1929,Romanian,Romanian
3868,The Hatchet,Mihail Sadoveanu,1930,Romanian,Romanian
3868,Creanga De Aur,Mihail Sadoveanu,1933,Romanian,Romanian
3868,Frații Jderi,Mihail Sadoveanu,1935,Romanian,Romanian
3868,Ochi De Urs,Mihail Sadoveanu,1938,Romanian,Romanian
3868,Rakes Of The Old Court,Mateiu I. Caragiale,1929,Romanian,Romanian
3868,Pagini Bizare,Urmuz,1930,Romanian,Romanian
3868,"The Last Night Of Love, The First Night Of War",Camil Petrescu,1930,Romanian,Romanian
3868,The Bed Of Procrustes,Camil Petrescu,1933,Romanian,Romanian
3868,În Preajma Revoluției,Constantin Stere,1931,Romanian,Romanian
3868,Papucii Lui Mahmud,Gala Galaction,1932,Romanian,Romanian
3868,Adela,G. Ibrăileanu,1933,Romanian,Romanian
3868,Bengal Nights,Mircea Eliade,1933,Romanian,French
3868,Proză Fantastică,Mircea Eliade,1963,Romanian,Romanian
3868,Rusoaica,Gib I. Mihăescu,1933,Romanian,Romanian
3868,Ioana,Anton Holban,1934,Romanian,Romanian
3868,Jocurile Daniei,Anton Holban,1935,Romanian,Romanian
3868,For Two Thousand Years,Mihail Sebastian,1934,Romanian,Romanian
2504,"Journal, 1935 44",Mihail Sebastian,1996,Romanian,Romanian
3868,Adventures In Immediate Irreality,M. Blecher,1936,Romanian,Romanian
3868,Enigma Otiliei,G. Călinescu,1938,Romanian,Romanian
3868,Bietul Ioanide,G. Călinescu,1953,Romanian,Romanian
3868,The Thistles Of The Bărăgan,Panaït Istrati,1928,Romanian,French
3868,Sfârșit De Veac în București,Ion Marin Sadoveanu,1944,Romanian,Romanian
3868,întâlnirea Din Pământuri,Marin Preda,1948,Romanian,Romanian
3868,The Morometes,Marin Preda,1955,Romanian,Romanian
