rank,book,authors,year,country,language
8472,Sosu's Call,Meshack Asare,1997,Ghanaian,English
6946,Adventures Of A Breath,Hayam Abbas Al-Homi,1989,Egyptian,Unknown
6946,Stories From A Shona Childhood,Charles Mungoshi,1989,Zimbabwean,English
6832,Mamy Wata and the Monster,Veronique Tadjo,1988,French,French
4357,Al Mawt `Ala Al Asfalt,`Abd al-Rahman Abnudi,1960,Egyptian,Arabic
709,Arrow of God,Chinua Achebe,1964,Nigerian,English
60,Things Fall Apart,Chinua Achebe,1958,Nigerian,English
5150,Anowa,Ama Ata Aidoo,1970,Ghanaian,English
6946,O Testamento Do Sr. Napumoceno Da Silva Araújo,Germano Almeida,1989,Cape Verdean,Portuguese
1466,The Beautyful Ones are Not Yet Born,Ayi K. Armah,1968,Ghanaian,English
5353,L'étrange Destin De Wangrin,Amadou Hampâté Bâ,1973,French,French
1240,So Long a Letter,Mariama Bâ,1980,Senegalese,French
2283,The Sacred Night,Tahar Ben Jelloun,1987,Moroccan,French
4044,Le Pauvre Christ De Bomba,Mongo Beti,1956,French,French
977,A Dry White Season,Andre Brink,1979,South African,Afrikaans
8883,"Riwan, Ou Le Chemin De Sable",Ken Bugul,1999,French,French
7055,The Last Harmattan Of Alusine Dunbar,Syl Cheney-Choker,1990,Sierra Leonean,English
3862,Le Passé Simple,Driss Chraibi,1954,Moroccan,French
1703,Life & Times of Michael K,J. M. Coetzee,1983,South African,English
7668,Sleepwalking Land,Mia Couto,1992,Mozambican,Portuguese
6220,Karingana Ua Karingana,José Craveirinha,1982,Mozambican,Portuguese
4044,Climbié,Bernard Dadié,1956,French,French
722,Nervous Conditions,Tsitsi Dangarembga,1988,Zimbabwean,English
2431,La Grande Maison,Mohammed Dib,1952,Algerian,French
3779,Tales of Amadou Koumba,Birago Diop,1947,Togolese,French
5290,"Murambi, The Book Of Bones",Boubacar Boris Diop,2000,Senegalese,French
1085,Fantasia,Assia Djebar,1985,French,French
2374,The Joys Of Motherhood,Buchi Emecheta,1979,Nigerian,English
3779,Forest of A Thousand Daemons,Daniel O. Fagunwa,1938,Nigerian,Yoruba
3245,Maps,Nuruddin Farah,1986,Somali,English
4447,The Blood Knot,Athol Fugard,1961,South African,English
3831,Zayni Barakat,Jamal al- Ghitani,1974,Egyptian,Arabic
913,Burger's Daughter,Nadine Gordimer,1979,South African,English
1288,A Question of Power,Bessie Head,1973,Botswanan,English
4650,Nos Matamos O Cão Tinhoso,Bernardo Honwana,1964,Mozambican,Portuguese
6832,Bones,Chenjerai Hove,1988,Zimbabwean,English
4324,Abyssinian Chronicles,Moses Isegawa,1998,Dutch,English
3779,The Wrath of the Ancestors,Archibald Campbell Jordan,1940,South African,English
5833,The Long Journey of Poppie Nongena,Elsa Joubert,1978,South African,Afrikaans
993,Ambiguous Adventure,Cheikh Hamidou Kane,1961,Senegalese,French
6733,Ualalapi,Ungulani Ba Ka Khosa,1987,Mozambican,Portuguese
4990,The Suns of Independence,Ahmadou Kourouma,1968,French,French
798,The African Child,Camara Laye,1953,Guinean,French
7516,"Living, Loving And Lying Awake At Night",Sindiwe Magona,1991,South African,English
1079,The Cairo Trilogy,Naguib Mahfouz,1956,Egyptian,Arabic
5833,House Of Hunger,Dambudzo Marechera,1978,Zimbabwean,English
1071,Chaka,Thomas Mofolo,1925,South African,Sesotho
9666,Un Attieké Pour Elgass,Tierno Monenembo,2021,French,French
4650,"Indaba, My Children",Vusamazulu Credo Mutwa,1964,South African,English
2771,Matigari,Ngũgĩ wa Thiong’o,1987,Kenyan,Gikuyu
2232,A Grain Of Wheat,Ngũgĩ wa Thiong’o,1967,Kenyan,English
4357,Soundjata Ou L'épopée Mandingue,Djibril Tamsir Niane,1960,French,French
4447,Inkinnsela Yase Mgungundlovu,Sibusiso Nyembezi,1961,South African,Zulu
2968,Labyrinths,Christopher Okigbo,1971,Nigerian,English
1469,The Famished Road,Ben Okri,1991,Nigerian,English
4044,Le Vieux Nègre Et La Médaille,Ferdinand Oyono,1956,French,French
1156,Song Of Lawino,Okot P'Bitek,1966,Ugandan,Acholi
6076,A Geração Da Utopia,Pepetela,1992,Angolan,Portuguese
1195,Woman at Point Zero,Nawal El Saadawi,1975,Egyptian,Arabic
549,Season of Migration to the North,Al-Tayyib Salih,1966,Sudanese,Arabic
5975,Le Jeune Homme De Sable,Williams Sassine,1979,French,French
746,God's Bits of Wood,Ousmane Sembène,1960,Senegalese,French
4650,Oeuvre Poétique,Léopold Sédar Senghor,1964,Senegalese,French
8472,Third World Express,Mongane Wally Serote,1997,South African,English
4893,Utenzi Wa Vita Vya Uhuru,Robert Bin Shabaan,1967,Tanzanian,Swahili
5975,Life and a Half,Sony Labou Tansi,1979,French,French
3495,The Beggars' Strike,Aminata Sow Fall,1979,Senegalese,French
3991,Death And The King's Horsemen,Wole Soyinka,1975,Nigerian,English
4006,Le Mauvais Sang Feu De Brousse à Trisse Coeur,Tchicaya U. Tam'si,1955,Tchadian,French
833,The Palm-Wine Drinkard,Amos Tutola,1952,Nigerian,English
8637,Butterfly Burning,Yvonne Vera,1998,Zimbabwean,English
5410,Nós Os Do Makulusu,José Luandino Vieira,1974,Angolan,Portuguese
3779,Amal'eZulu,B. W. Vilakazi,1945,South African,Zulu
4044,Nedjma,Kateb Yacine,1956,Algerian,French
5150,Accumulation On A World Scale,Samir Amin,1970,French,French
6733,"Male Daughters, Female Husbands",Ifi Amadiume,1987,Nigerian,English
4447,Os Nacionalismos Africanos,Mario de Andrade,1961,Brazilian,Portuguese
7668,In My Father's House,Anthony Appiah,1992,Ghanaian,English
5975,Unity And Struggle,Amilcar Cabral,1979,Guinean,Portuguese
8637,"Kiswahili, Past, Present And Future Horizons",Rocha Chimera,1998,Kenyan,English
3862,Antériorité Des Civilisations Nègres,Cheikh Anta Diop,1954,Senegalese,French
7937,Cutting The Rose,Efua Doorkenoo,1994,Ghanaian,English
3779,Ethiopia Unbound,J. E. Casely Hayford,1911,Ghanaian,English
5571,Sur La Philosophie Africaine,Paulin Hountondji,1976,French,French
3779,The History Of The Yorubas,Reverend Samuel Johnson,1921,Nigerian,English
2794,Facing Mount Kenya,Jomo Kenyatta,1938,Kenyan,English
5267,Histoire De L'afrique Noire,Joseph Ki-Zerbo,1972,French,French
6010,Country Of My Skull,Antjie Krog,1998,South African,Afrikaans
8128,"Beyond The Mask, Race, Gender And Identity",Amina Mama,1995,British,English
6641,Citizen And Subject,Mahmood Mamdani,1996,Ugandan,English
2241,Long Walk To Freedom,Nelson Mandela,1994,South African,English
3779,The Soul of the White Ant,Eugène N. Marais,1925,South African,Afrikaans
4101,The Colonizer and the Colonized,Albert Memmi,1957,French,French
5071,The Struggle For Mozambique,Eduardo Mondlane,1969,Mozambican,English
1624,Down Second Avenue,Es'kia Mphahlele,1959,South African,English
6832,The Invention Of Africa,V. Y. Mudimbe,1988,Congolese,English
4101,Ghana,Kwame Nkrumah,1957,Ghanaian,English
3779,Native Life In South Africa,Sol Plaatje,1916,South African,English
3093,Ake,Wole Soyinka,1981,Nigerian,English
8284,The Seed Is Mine,Charles Van Onselen,1996,South African,English
