rank,book,authors,year,country,language
47,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish
6,Moby-Dick,Herman Melville,1851,American,English
322,Franz Kafka,Franz Kafka,1971,Czech,Unknown
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
1,Ulysses,James Joyce,1922,Irish,English
130,Doctor Faustus,Thomas Mann,1947,German,German
1159,The Seven Madmen,Roberto Arlt,1929,Argentinian,Spanish
2245,Poems of Eugenio Montale,Eugenio Montale,1925,Italian,Italian
21,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
110,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1902,American,English
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
899,"If I Forget Thee, Jerusalem",William Faulkner,1939,American,English
116,First Folio,William Shakespeare,1623,British,English
3371,Betrayed by Rita Hayworth,Manuel Puig,1968,Argentinian,Spanish
20,The Trial,Franz Kafka,1925,Czech,German
592,Facundo,Domingo Faustino Sarmiento,1845,Argentinian,Spanish
2,In Search of Lost Time,Marcel Proust,1913,French,French
141,The Waste Land,T. S. Eliot,1922,British,English
82,The Castle,Franz Kafka,1926,Czech,German
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
80,Essays,Michel de Montaigne,1580,French,French
575,Nine Stories,J. D. Salinger,1953,American,English
1739,Poems of Pablo Neruda,Pablo Neruda,1970,Chilean,Spanish
18,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
28,The Divine Comedy,Dante Alighieri,1308,Italian,Italian
52,The Old Man and the Sea,Ernest Hemingway,1952,American,English
31,Heart of Darkness,Joseph Conrad,1899,British,English
43,The Red and the Black,Stendhal,1830,French,French
262,Collected Poems of W. B. Yeats,William Butler Yeats,1933,Irish,English
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
8608,The Last Books of Hector Viel Temperley,Hector Viel Temperley,2011,Argentinian,Spanish
582,The Odes,Horace,23,Roman,Latin
3039,Los lanzallamas,Roberto Arlt,1931,Argentinian,Spanish
61,The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italian,Italian
370,Ferdydurke,Witold Gombrowicz,1937,Polish,Polish
671,Stories of Guy de Maupassant,Guy de Maupassant,1880,French,French
947,The Burning Plain and Other Stories,Juan Rulfo,1953,Mexican,Spanish
134,Confessions of Zeno,Italo Svevo,1923,Italian,Italian
1144,Poems of Federico García Lorca,Federico García Lorca,1921,Spanish,Spanish
537,Jakob Von Gunten,Robert Walser,1909,Swiss,German
