rank,book,authors,year,country,language
5129,My Father And Myself,J. R. Ackerley,1968,British,English
595,Poems of W. H. Auden,W. H. Auden,1930,British,English
3555,The Atrocity Exhibition,J. G. Ballard,1970,British,English
5388,Steps To An Ecology Of Mind,Gregory Bateson,1972,American,English
100,Waiting for Godot,Samuel Beckett,1953,Irish,French
639,Humboldt's Gift,Saul Bellow,1975,American,English
4616,Flesh,Brigid Brophy,1962,British,English
34,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian
158,Silent Spring,Rachel Carson,1962,American,English
987,Poems Of C. P. Cavafy,C. P. Cavafy,1935,Greek,Greek
954,The Worst Journey in the World,Apsley Cherry-Garrard,1922,British,English
2715,The Worm Forgives The Plough,John Stewart Collis,1947,British,English
2732,Man-Eaters of Kumaon,Jim Corbett,1944,British,English
2734,Travels in Arabia Deserta,Charles M. Doughty,1888,British,English
55,Rebecca,Daphne du Maurier,1938,British,English
141,The Waste Land,T. S. Eliot,1922,British,English
9,The Sound and the Fury,William Faulkner,1929,American,English
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
89,The Good Soldier,Ford Madox Ford,1915,British,English
79,A Passage to India,E. M. Forster,1924,British,English
2742,Mountain Interval,Robert Frost,1916,American,English
2743,North Of Boston,Robert Frost,1914,American,English
171,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
124,The Wind in the Willows,Kenneth Grahame,1908,British,English
3570,Pack My Bag,Henry Green,1940,British,English
213,Life and Fate,Vasily Grossman,1980,Russian,Russian
729,Poems Of Thomas Hardy,Thomas Hardy,1898,British,English
826,In Our Time,Ernest Hemingway,1925,American,English
5129,Cavaliers And Roundheads,Christopher Hibbert,1968,British,English
862,Mein Kampf,Adolf Hitler,1925,German,German
894,The Poems Of Gerard Manley Hopkins,Gerald Manley Hopkins,1918,British,English
2691,Last Poems,A. E. Housman,1922,British,English
50,Brave New World,Aldous Huxley,1932,British,English
365,The Golden Bowl,Henry James,1904,American,English
1,Ulysses,James Joyce,1922,Irish,English
3211,The Perfect Storm,Sebastian Junger,1997,American,English
20,The Trial,Franz Kafka,1925,Czech,German
41,On the Road,Jack Kerouac,1957,American,English
338,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936,British,English
257,Kim,Rudyard Kipling,1901,British,English
132,Sons and Lovers,D. H. Lawrence,1913,British,English
281,Independent People,Halldor Laxness,1934,Icelandic,Icelandic
1256,Story of Ferdinand,Munro Leaf,1936,American,English
114,If This Is a Man,Primo Levi,1947,Italian,Italian
250,Babbitt,Sinclair Lewis,1922,American,English
3570,Blasting And Bombardiering,Wyndham Lewis,1937,British,English
3570,Van Loon's Lives,Hendrik Willem van Loon,1942,Dutch,English
1354,The Towers Of Trebizond,Rose Macauley,1956,British,English
1206,Danube,Claudio Magris,1986,Italian,Italian
2164,The Last Lion,William Manchester,1983,American,English
480,Joseph and His Brothers,Thomas Mann,1933,German,German
3570,Being Geniuses Together,Robert McAlmon,1938,American,English
8024,Jerusalem Commands,Michael Moorcock,1992,British,English
11,Lolita,Vladimir Nabokov,1955,American,English
70,Pale Fire,Vladimir Nabokov,1962,American,English
497,"Speak, Memory",Vladimir Nabokov,1951,American,English
474,The Third Policeman,Flann O'Brien,1967,Irish,English
3570,The Endless Adventure,F. S. Oliver,1930,British,English
7,Nineteen Eighty Four,George Orwell,1949,British,English
53,Animal Farm,George Orwell,1945,British,English
435,Homage to Catalonia,George Orwell,1938,British,English
1428,The Unquiet Grave,Cyril Connolly,1944,British,English
5965,Good Company,Frances Partridge,1977,British,English
104,Doctor Zhivago,Boris Pasternak,1957,Russian,Russian
314,A Dance to the Music of Time,Anthony Powell,1951,British,English
742,A Glastonbury Romance,John Cowper Powys,1932,British,English
2,In Search of Lost Time,Marcel Proust,1913,French,French
2263,The Getting Of Wisdom,Henry Handel Richardson,1910,Australian,English
58,Midnight's Children,Salman Rushdie,1981,Indian,English
1492,A History of Western Philosophy,Bertrand Russell,1945,British,English
1763,The Problems of Philosophy,Bertrand Russell,1912,British,English
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
808,The Last Of The Just,André Schwarz-Bart,1959,French,French
2212,1066 And All That,W. C. Sellar,1930,British,English
711,A Suitable Boy,Vikram Seth,1993,Indian,English
553,And Quiet Flows The Don,Mikhail Sholokhov,1928,Russian,Russian
204,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,Russian,Russian
2196,Last And First Men,Olaf Stapledon,1930,British,English
1063,Collected Poems Of Edward Thomas,Edward Thomas,1920,British,English
61,The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italian,Italian
1470,Selected Stories,William Trevor,1992,Irish,English
1838,The Proud Tower,Barbara Wertheim Tuchman,1966,American,English
4616,Pigeon Feathers And Other Stories,John Updike,1962,American,English
877,Breakfast of Champions,Kurt Vonnegut,1973,American,English
3570,Mr. Fortune's Maggot,Sylvia Townsend Warner,1927,British,English
775,The Loved One,Evelyn Waugh,1948,British,English
1131,The History of Mr. Polly,H. G. Wells,1910,British,English
3972,Down With Skool!,Geoffrey Willans,1953,British,English
655,A Streetcar Named Desire,Tennessee Williams,1947,American,English
1550,The Struggle for Europe,Chester Wilmot,1952,British,English
359,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921,Austrian,German
1509,The Inimitable Jeeves,P. G. Wodehouse,1923,British,English
1150,A Writer's Diary,Virginia Woolf,1953,British,English
1471,The Tower,William Butler Yeats,1928,Irish,English
87,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German
