rank,book,authors,year,country,language
237,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish
15,Pride and Prejudice,Jane Austen,1813,British,English
76,Emma,Jane Austen,1815,British,English
515,Cousin Bette,Honoré de Balzac,1846,French,French
639,Humboldt's Gift,Saul Bellow,1975,American,English
123,Decameron,Giovanni Boccaccio,1353,Italian,Italian
14,Wuthering Heights,Emily Brontë,1847,British,English
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
128,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian
740,Adolphe,Benjamin Constant,1816,Swiss,French
339,Moll Flanders,Daniel Defoe,1722,British,English
13,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian
59,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian
18,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
181,An American Tragedy,Theodore Dreiser,1925,American,English
400,The Mill on the Floss,George Eliot,1860,British,English
24,Middlemarch,George Eliot,1871,British,English
9,The Sound and the Fury,William Faulkner,1929,American,English
42,"Absalom, Absalom!",William Faulkner,1936,American,English
3473,Amelia,Henry Fielding,1751,British,English
122,A Sentimental Education,Gustave Flaubert,1869,French,French
79,A Passage to India,E. M. Forster,1924,British,English
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
97,Dead Souls,Nikolai Gogol,1842,Russian,Russian
177,Oblomov,Ivan Goncharov,1859,Russian,Russian
1800,Mysteries,Knut Hamsun,1892,Norwegian,Norwegian
347,The Mayor of Casterbridge,Thomas Hardy,1886,British,English
280,Jude the Obscure,Thomas Hardy,1895,British,English
66,The Portrait of a Lady,Henry James,1881,American,English
82,The Castle,Franz Kafka,1926,Czech,German
78,The Metamorphosis,Franz Kafka,1915,Czech,German
238,A Hero of Our Time,Mikhail Lermontov,1840,Russian,Russian
62,Under the Volcano,Malcolm Lowry,1947,British,English
265,The Betrothed,Alessandro Manzoni,1827,Italian,Italian
298,The Confusions of Young Törless,Robert Musil,1906,Austrian,German
3213,The Selected Works of Cesare Pavese,Cesare Pavese,1968,Italian,Italian
414,The Moon and the Bonfires,Cesare Pavese,1950,Italian,Italian
2,In Search of Lost Time,Marcel Proust,1913,French,French
2823,Gimpel the Fool,Isaac Bashevis Singer,1953,Polish,Yiddish
453,The Man Who Loved Children,Christina Stead,1940,Australian,English
134,Confessions of Zeno,Italo Svevo,1923,Italian,Italian
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
10,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
175,Fathers and Sons,Ivan Turgenev,1862,Russian,Russian
22,Adventures of Huckleberry Finn,Mark Twain,1884,American,English
577,The Go-Between,L. P. Hartley,1953,British,English
2038,The Blithedale Romance,Nathaniel Hawthorne,1852,American,English
2179,Collected Stories,W. Somerset Maugham,1951,British,English
945,The Maias,Eça de Queirós,1888,Portuguese,Portuguese
1003,The Fortunes Of Richard Mahony,Henry Handel Richardson,1917,Australian,English
1571,The Loneliness of the Long-distance Runner,Alan Sillitoe,1959,British,English
4981,Short Friday,Isaac Bashevis Singer,1964,Polish,Yiddish
6844,The Seance and Other Stories,Isaac Bashevis Singer,1968,Polish,Yiddish
5585,The Complete Works of Nathanael West,Nathanael West,1957,American,English
310,We,Yevgeny Zamyatin,1924,Russian,Russian
