rank,book,authors,year,country,language
4630,Mission Box,Aris Alexandrou,1974,Greek,Greek
7035,The Poems Of Manolis Anagnostakis,Manolis Anagnostakis,2001,Greek,Greek
3868,Difficult Nights,Melpo Axioti,1938,Greek,Greek
3868,Η κάθοδος των εννιά,Thanassis Valtinos,1963,Greek,Greek
5849,Data From The Decade Of The Sixties,Thanassis Valtinos,1989,Greek,Greek
3868,Συναξάρι Αντρέα Κορδοπάτη,Thanassis Valtinos,1964,Greek,Greek
6332,Orthokostá,Thanassis Valtinos,1994,Greek,Greek
3868,Το φως που καίει,Kostas Varnalis,1922,Greek,Greek
3868,"The Plant, The Well, The Angel",Vassilis Vassilikos,1963,Greek,Unknown
3868,Land Of Aeolia,Elias Venezis,1943,Greek,Greek
3868,Modern Greek Stories,Georgios Vizyinos,1883,Greek,Greek
3868,My Mother's Sin,Georgios Vizyinos,1883,Greek,Greek
3868,The Only Journey Of His Life,Georgios Vizyinos,1887,Greek,Greek
5849,The Life Of Ismail Ferik Pasha,Rea Galanaki,1989,Greek,Greek
5849,Γυάλινα Γιάννενα,Michalis Ganas,1989,Greek,Greek
3868,Amorgos,Nikos Gatsos,1943,Greek,Greek
3868,Η κρύπτη,Ε.Χ. Γονατάς,1963,Greek,Greek
4923,Dying As A Country,Dimitris Dimitriadis,1978,Greek,Greek
5589,"Woof, Woof, Dear Lord",Sotiris Dimitriou,1987,Greek,Unknown
5651,Χαιρε Ποτε,Kiki Dimoula,1988,Greek,Greek
2119,Fool's Gold,Máro Doýka,1979,Hungarian,Unknown
3868,A Prisoner Of War’s Story,Stratis Doukas,1929,Greek,Greek
4923,Στην Κοιλαδα Με Τους Ροδωνες,Nikos Engonopoulos,1978,Greek,Greek
3868,Μπολιβαρ,Nikos Engonopoulos,1944,Greek,Greek
3868,The Axion Esti,Odysseas Elytis,1959,Greek,Greek
6072,The Elegies Of Oxopetra,Odysseas Elytis,1991,Greek,Greek
4432,The Collected Poems Of Odysseus Elytis,Odysseas Elytis,1971,Greek,Greek
5018,Maria Nephele,Odysseas Elytis,1979,Greek,Greek
4709,Oktana,Andreas Embiricos,1975,Greek,Greek
3868,Ενδοχωρα,Andreas Embiricos,1947,Greek,Greek
3868,Υψικαμινος,Andreas Embiricos,1935,Greek,Greek
6228,At Twilight They Return,Zyranna Zateli,1993,Greek,Greek
3868,Η Τιμη Και Το Χρημα,Konstantinos Theotokis,1914,Greek,Greek
4432,Η Σαρκοφαγος,Giorgos Ioannou,1971,Greek,Greek
987,Poems Of C. P. Cavafy,C. P. Cavafy,1935,Greek,Greek
3868,Ασκητική,Nikos Kazantzakis,1927,Greek,Greek
210,Zorba the Greek,Nikos Kazantzakis,1946,Greek,Greek
3868,Freedom Or Death,Nikos Kazantzakis,1953,Greek,Greek
1774,Christ Recrucified,Nikos Kazantzakis,1948,Greek,Greek
3868,Odes,Andreas Kalvos,1824,Greek,Greek
3868,Η Αυλή των Θαυμάτων,Iakovos Kambanellis,1962,Greek,Greek
3868,The Great Chimera,M. Karagatsis,1953,Greek,Greek
3868,Γιούγκερμαν,M. Karagatsis,1938,Greek,Greek
3868,Ο Συνταγματάρχης Λιάπκιν,M. Karagatsis,1933,Greek,Greek
2796,Kassandra And The Wolf,Margarita Karapanou,1974,Greek,Greek
3868,The Beggar,Andreas Karkavitsas,1896,Greek,Greek
3868,Ελεγεία και Σάτιρες,Kostas Karyotakis,1927,Greek,Greek
3868,Νηπενθή,Kostas Karyotakis,1921,Greek,Greek
3868,Κατά Σαδδουκαίων,Michalis Katsaros,1953,Greek,Greek
3868,Ο Εξώστης,Nikos Kakhtitsis,1963,Greek,Greek
5018,Αντιποίησις Αρχής,Alexandros Kotzias,1979,Greek,Greek
4778,Βιοτεχνία Υαλικών,Menis Koumandareas,1976,Greek,Greek
3868,The Memoirs Of General Makriyannis,Makriyannis,1907,Greek,Greek
2619,The Daughter,Pavlos Matesis,1990,Greek,Greek
5589,Διηγήματα,Michail Mitsakis,1987,Greek,Greek
3868,Το Πλατύ Ποτάμι,Yiannis Beratis,1946,Greek,Greek
3868,Life In The Tomb,Stratis Myrivilis,1924,Greek,Greek
3868,The Schoolmistress With The Golden Eyes,Stratis Myrivilis,1933,Greek,Greek
3868,The Twelve Lays Of The Gypsy,Kostis Palamas,1907,Greek,Greek
5168,από το στόμα της παλιάς Remington,Giannis Panou,1981,Greek,Greek
2230,The Murderess,Alexandros Papadiamantis,1903,Greek,Greek
3868,The Complete Works Of Alexandros Papadiamantis,Alexandros Papadiamantis,1952,Greek,Greek
4041,Το Μυθιστόρημα της Κυρίας Έρσης,Nikos-Gabriel Pentzikis,1966,Greek,Greek
3868,Ο Πεθαμένος και η Ανάσταση,Nikos-Gabriel Pentzikis,1949,Greek,Greek
3868,Eroica,Kosmas Politis,1937,Greek,Greek
3868,Στου Χατζηφράγκου,Kosmas Politis,1929,Greek,Greek
3868,Λεμονοδάσος,Kosmas Politis,1930,Greek,Greek
3868,The Moonlight Sonata,Yannis Ritsos,1956,Greek,Greek
4505,The Fourth Dimension,Yannis Ritsos,1972,Greek,Greek
3868,The Papess Joanne,Emmanuel Rhoides,1866,Greek,Greek
4002,The Flaw,Antonis Samarakis,1965,Greek,Greek
3868,Ποιήματα Α' και Β',Miltos Sachtouris,1945,Greek,Greek
2263,Poems Of George Seferis,George Seferis,1931,Greek,Greek
3868,Mythistorema,George Seferis,1935,Greek,Greek
1684,Logbook,George Seferis,1940,Greek,Greek
2048,Στροφή,George Seferis,1931,Greek,Greek
3868,Λυρικός Βίος,Angelos Sikelianos,1938,Greek,Greek
3868,Το Σόλο του Φίγκαρο,Yiannis Skarimbas,1938,Greek,Greek
3868,Το Θείο Τραγί,Yiannis Skarimbas,1935,Greek,Greek
3868,Η Γυναίκα της Ζακύνθου,Dionysios Solomos,1829,Greek,Greek
3868,The Complete Works,Dionysios Solomos,1818,Greek,Greek
3868,The Free Besieged,Dionysios Solomos,1825,Greek,Greek
3868,Farewell Anatolia,Dido Sotiriou,1962,Greek,Greek
3868,Το Τρίτο Στεφάνι,Kostas Taktsis,1962,Greek,Greek
1804,Drifting Cities,Stratis Tsirkas,1960,Greek,Greek
3868,Η Χαμένη Άνοιξη,Stratis Tsirkas,1946,Greek,Greek
6228,Heroes' Shrine For Sale or The Elegant Toilet,Marios Hakkas,1993,Greek,Greek
3868,The End Of Our Small Town,Dimitris Hatzis,1963,Greek,Greek
5018,Ο Εχθρός του Ποιητή,Giorgos Heimonas,1979,Greek,Greek
6524,The Builders,Giorgos Heimonas,1996,Greek,Greek
5589,Ο Λουσίας,Nikos Houliaras,1987,Greek,Greek
3868,Η Κερένια Κούκλα,Konstantinos Christomanos,1899,Greek,Greek
3868,The Poems Of Dinos Christianopoulos,Dinos Christianopoulos,1958,Greek,Greek
3868,Το Ταξίδι Μου,Yiannis Psycharis,1888,Greek,Greek
4923,Deathfeast,Takis Sinopoulos,1978,Greek,Greek
