rank,book,authors,year,country,language
225,2666,Roberto Bolaño,2004,Chilean,Spanish
256,Austerlitz,W. G. Sebald,2001,German,German
287,The Road,Cormac McCarthy,2006,American,English
1004,Secondhand Time,Svetlana Alexievich,2013,Belarusian,Russian
578,The Years,Annie Ernaux,2008,French,French
410,The Human Stain,Philip Roth,2000,American,English
3048,Disturbance,Philippe Lançon,2018,French,French
376,The Year of Magical Thinking,Joan Didion,2005,American,English
2312,Solenoid,Mircea Cărtărescu,2015,Romanian,Romanian
3331,The Books Of Jacob,Olga Tokarczuk,2014,Polish,Polish
760,The Feast of the Goat,Mario Vargas Llosa,2000,Peruvian,Spanish
1359,The Adversary,Emmanuel Carrère,2000,French,French
1193,Kafka On The Shore,Haruki Murakami,2002,Japanese,Japanese
436,Americanah,Chimamanda Ngozi Adichie,2013,Nigerian,English
591,House of Leaves,Mark Z. Danielewski,2000,American,English
6668,The Eleven,Pierre Michon,2009,French,French
7984,O,Miki Liukkonen,2017,Finnish,Finnish
4010,Purge,Sofi Oksanen,2008,Finnish,Finnish
1659,The Hunger Angel,Herta Müller,2009,German,German
750,The Underground Railroad,Colson Whitehead,2016,American,English
858,A Tale of Love and Darkness,Amos Oz,2002,Israeli,Hebrew
2410,The Map And The Territory,Michel Houellebecq,2010,French,French
7753,Baumgartner,Paul Auster,2023,American,English
1503,Snow,Orhan Pamuk,2002,Turkish,Turkish
784,The Vegetarian,Han Kang,2007,Korean,Korean
