rank,book,authors,year,country,language
545,Max Havelaar,Multatuli,1860,Dutch,Dutch
864,Reynard the Fox,Unknown,1479,Multiple,Middle dutch
845,The Evenings,Gerard Reve,1947,Dutch,Dutch
1613,Gijsbrecht Van Aemstel,Joost van den Vondel,1637,Dutch,Dutch
898,The Darkroom Of Damocles,W.F. Hermans,1958,Dutch,Dutch
1489,Camera Obscura,Nicolaas Beets,1839,Dutch,Dutch
1526,Beatrijs,Unknown,1374,Dutch,Middle dutch
1532,Charles And Elegast,Unknown,1250,Dutch,Middle dutch
2459,Beyond Sleep,W.F. Hermans,1966,Dutch,Dutch
3766,Uit Hoofts Lyriek,P. C. Hooft,1636,Dutch,Dutch
1960,Mary Of Nijmegen,Unknown,1475,Dutch,Middle dutch
1502,Eline Vere,Louis Couperus,1889,Dutch,Dutch
3774,May,Herman Gorter,1889,Dutch,Dutch
3796,The History Of Miss Sara Burgerhart,"Betje Wolff , Aagje Deken",1782,Dutch,Dutch
2234,Old People And The Things That Pass,Louis Couperus,1906,Dutch,Dutch
1986,Lucifer,Joost van den Vondel,1654,Dutch,Dutch
1504,Everyman,Unknown,1501,Unknown,Middle english
1992,The Spanish Brabanter,G. A. Bredero,1617,Dutch,Dutch
2041,Chapel Road,Louis-Paul Boon,1953,Belgian,Dutch
1117,The Sorrow of Belgium,Hugo Claus,1983,Belgian,Dutch
2026,The Freeloader,Nescio,1916,Dutch,Dutch
955,The Discovery of Heaven,Harry Mulisch,1992,Dutch,Dutch
2859,Small Souls,Louis Couperus,1901,Dutch,Dutch
2858,Soft Soap,Willem Elsschot,1931,Belgian,Dutch
3997,Nederlandsche Historien,P. C. Hooft,1642,Dutch,Dutch
2047,Little Titans,Nescio,1918,Dutch,Dutch
1591,Character,F. Bordewijk,1938,Dutch,Dutch
4021,Country Of Origin,E. du Perron,1935,Dutch,Dutch
2889,Bint,F. Bordewijk,1934,Dutch,Dutch
2888,The Leg,Willem Elsschot,1946,Belgian,Dutch
